アグネスタキオン, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
ウイニングチケット, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0
ウオッカ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0
エアグルーヴ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
エルコンドルパサー, 0, 0, 23383, 23383, 23383, 23383, 23383, 23383, 23383, 23383, 23383, 23383, 23383, 22993, 22356, 0, 0, 0, 0
オグリキャップ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33670, 33670, 0, 0
カレンチャン, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
キングヘイロー, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37005, 37005, 0, 0
グラスワンダー, 0, 0, 19201, 19201, 19201, 19201, 19201, 19201, 19201, 19201, 19201, 19201, 19201, 19785, 24549, 0, 0, 0, 0
コレハテストダヨー, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ゴールドシップ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39747, 39747, 0, 0
サイレンススズカ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48422, 48422, 0, 0
サクラバクシンオー, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1373, 0, 37645, 37645, 0, 0
シンボリルドルフ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
スペシャルウィーク, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
スマートファルコン, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
スーパークリーク, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
タイキシャトル, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30728, 0, 0, 0, 0
ダイワスカーレット, 0, 0, 20042, 20042, 20042, 20042, 20042, 20042, 20042, 20042, 20042, 20042, 20042, 19708, 33317, 0, 0, 0, 0
テイエムオペラオー, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19089, 0, 0, 0, 0
トウカイテイオー, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15782, 0, 0, 0, 0
ナイスネイチャ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ナリタタイシン, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ナリタブライアン, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34459, 34459, 0, 0
ハルウララ, 0, 0, 2371, 2371, 2371, 2371, 2371, 2371, 2371, 2371, 2371, 2371, 2371, 0, 0, 41744, 41744, 0, 0
ビワハヤヒデ, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
マチカネフクキタル, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
マヤノトップガン, 0, 0, 5820, 5820, 5820, 5820, 5820, 5820, 5820, 5820, 5820, 5820, 5820, 5340, 0, 0, 0, 0, 0
マルゼンスキー, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ミホノブルボン, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44540, 44540, 0, 0
メジロマックイーン, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25724, 0, 0, 0, 0
メジロライアン, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ライスシャワー, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
